Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
2527,Lambeth,Heathbrook Primary School,40.5,Community School,Primary
2526,Lambeth,The Orchard School,40.5,Voluntary Aided School,Primary
2511,Lambeth,Christ Church Primary SW9,40.4,Voluntary Aided School,Primary
2498,Lambeth,Herbert Morrison Primary School,40.3,Community School,Primary
2469,Lambeth,Iqra Primary School,40.1,Voluntary Aided School,Primary
2436,Lambeth,Loughborough Primary School,39.9,Community School,Primary
2435,Lambeth,Dunraven School,39.9,Academy Converter,All Through
2427,Lambeth,St Saviour's Church of England Primary School,39.8,Voluntary Aided School,Primary
2400,Lambeth,Durand Academy,39.6,Academy Converter,All Through
2379,Lambeth,The Laurels School,39.5,Other Independent School,Not applicable
2366,Lambeth,Allen Edwards Primary School,39.4,Community School,Primary
2365,Lambeth,St Andrew's Church of England Primary School,39.4,Voluntary Aided School,Primary
2349,Lambeth,Richard Atkins Primary School,39.3,Community School,Primary
2301,Lambeth,Effra Nursery School and Early Years Centre,39,LA Nursery School,Nursery
2300,Lambeth,Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),39,Community School,Primary
2282,Lambeth,St Mary's Roman Catholic Primary School,38.9,Voluntary Aided School,Primary
2281,Lambeth,Jubilee Primary School,38.9,Community School,Primary
2268,Lambeth,St Leonard's Church of England Primary School,38.8,Voluntary Aided School,Primary
2254,Lambeth,Macaulay Church of England Primary School,38.7,Voluntary Aided School,Primary
2253,Lambeth,St Martin in the Fields High School for Girls,38.7,Academy Converter,Secondary
2233,Lambeth,Maytree Nursery School,38.6,LA Nursery School,Nursery
2216,Lambeth,Fenstanton Primary School,38.5,Community School,Primary
2215,Lambeth,City Heights E-ACT Academy,38.5,Academy Sponsor Led,Secondary
2201,Lambeth,Bonneville Primary School,38.4,Community School,Primary
2200,Lambeth,The Michael Tippett School,38.4,Community Special School,Not applicable
2170,Lambeth,Evelyn Grace Academy,38.2,Academy Sponsor Led,Secondary
2146,Lambeth,Clapham Manor Primary School,38.1,Community School,Primary
2145,Lambeth,Jessop Primary School,38.1,Community School,Primary
2112,Lambeth,Sunnyhill Primary School,37.9,Community School,Primary
2111,Lambeth,Turney Primary and Secondary Special School,37.9,Foundation Special School,Not applicable
2039,Lambeth,The White House Preparatory School & Woodentops Kindergarten,37.5,Other Independent School,Not applicable
2038,Lambeth,London Steiner School,37.5,Other Independent School,Not applicable
2021,Lambeth,Glenbrook Primary School,37.4,Community School,Primary
2020,Lambeth,The Elmgreen School,37.4,Voluntary Controlled School,Secondary
1995,Lambeth,St Bernadette Catholic Junior School,37.3,Voluntary Aided School,Primary
1994,Lambeth,La Retraite Roman Catholic Girls' School,37.3,Voluntary Aided School,Secondary
1984,Lambeth,St Bede's Catholic Infant School,37.2,Voluntary Aided School,Primary
1967,Lambeth,Holmewood Nursery School,37.1,LA Nursery School,Nursery
1966,Lambeth,Henry Cavendish Primary School,37.1,Community School,Primary
1965,Lambeth,The Livity School,37.1,Community Special School,Not applicable
1906,Lambeth,Telferscot Primary School,36.7,Community School,Primary
1905,Lambeth,St Andrew's Catholic Primary School,36.7,Voluntary Aided School,Primary
1904,Lambeth,Rosendale Primary School,36.7,Community School,Primary
1903,Lambeth,Silburn Reid,36.7,Miscellaneous,Not applicable
1888,Lambeth,Crown Lane Primary School,36.6,Community School,Primary
1868,Lambeth,Julian's School,36.5,Foundation School,Primary
1867,Lambeth,Holy Trinity Church of England Primary School,36.5,Voluntary Aided School,Primary
1817,Lambeth,Immanuel and St Andrew Church of England Primary School,36.2,Voluntary Aided School,Primary
1773,Lambeth,Elm Court School,35.9,Community Special School,Not applicable
1753,Lambeth,Granton Primary School,35.8,Community School,Primary
1752,Lambeth,Hitherfield Primary School,35.8,Community School,Primary
1673,Lambeth,Kingswood Primary School,35.4,Community School,Primary
1672,Lambeth,St Luke's Church of England Primary School,35.4,Voluntary Aided School,Primary
1596,Lambeth,Streatham and Clapham High School,35,Other Independent School,Not applicable
1581,Lambeth,Streatham Wells Primary School,34.9,Community School,Primary
1580,Lambeth,Norwood School,34.9,Community School,Secondary
1506,Lambeth,Park Campus Academy,34.5,Academy Alternative Provision Converter,Not applicable
1303,Lambeth,Paxton Primary School,33.5,Community School,Primary
1277,Lambeth,Elm Wood School,33.4,Community School,Primary
1276,Lambeth,Bishop Thomas Grant Catholic Secondary School,33.4,Voluntary Aided School,Secondary
1059,Lambeth,Woodmansterne Primary School,32.4,Community School,Primary
17,Lambeth,Rann Horizon School,23.7,Other Independent School,Not applicable
3069,Lewisham,St James's Hatcham Church of England Primary School,48.1,Voluntary Aided School,Primary
3003,Lewisham,"Goldsmiths College, University of London",46.7,Higher Education Institutions,Not applicable
2928,Lewisham,Kender Primary School,45.1,Community School,Primary
2901,Lewisham,St Mary's Lewisham Church of England Primary School,44.8,Voluntary Aided School,Primary
2898,Lewisham,Rushey Green Primary School,44.7,Community School,Primary
2860,Lewisham,Addey and Stanhope School,44.2,Voluntary Aided School,Secondary
2819,Lewisham,Haseltine Primary School,43.6,Community School,Primary
2780,Lewisham,Marathon Science School,43.2,Other Independent School,Not applicable
2770,Lewisham,Olive Tree School,43.1,Other Independent School,Not applicable
2698,Lewisham,LeSoCo,42,Further Education,16 Plus
2697,Lewisham,Prendergast Vale School,42,Foundation School,All Through
2643,Lewisham,Ashmead Primary School,41.5,Community School,Primary
2629,Lewisham,Heath House Preparatory School,41.4,Other Independent School,Not applicable
2628,Lewisham,Tidemill Academy,41.4,Academy Converter,Primary
2573,Lewisham,St John Baptist Southend Church of England Primary School,40.9,Voluntary Aided School,Primary
2563,Lewisham,Deptford Green School,40.8,Community School,Secondary
2562,Lewisham,St Dunstan's College,40.8,Other Independent School,Not applicable
2535,Lewisham,Deptford Park Primary School,40.6,Community School,Primary
2510,Lewisham,Grinling Gibbons Primary School,40.4,Community School,Primary
2509,Lewisham,Abbey Manor College,40.4,Pupil Referral Unit,Not applicable
2497,Lewisham,Clyde Early Childhood Centre,40.3,LA Nursery School,Nursery
2468,Lewisham,Lucas Vale Primary School,40.1,Community School,Primary
2467,Lewisham,Childeric Primary School,40.1,Community School,Primary
2451,Lewisham,St Joseph's Catholic Primary School,40,Voluntary Aided School,Primary
2364,Lewisham,Myatt Garden Primary School,39.4,Community School,Primary
2214,Lewisham,St Saviour's Catholic Primary School,38.5,Voluntary Aided School,Primary
2169,Lewisham,Baring Primary School,38.2,Community School,Primary
2110,Lewisham,Dalmain Primary School,37.9,Community School,Primary
2109,Lewisham,Haberdashers' Aske's Hatcham Temple Grove Free School,37.9,Free Schools,Primary
2094,Lewisham,Rathfern Primary School,37.8,Community School,Primary
2093,Lewisham,Stillness Junior School,37.8,Community School,Primary
2092,Lewisham,Stillness Infant School,37.8,Community School,Primary
2078,Lewisham,John Stainer Community Primary School,37.7,Community School,Primary
2077,Lewisham,Haberdashers' Aske's Hatcham College,37.7,Academy Sponsor Led,All Through
2037,Lewisham,Beecroft Garden Primary,37.5,Community School,Primary
2036,Lewisham,Springfield Christian School,37.5,Other Independent School,Not applicable
2019,Lewisham,Life In London Uk,37.4,Other Independent School,Not applicable
1983,Lewisham,St Margaret's Lee CofE Primary School,37.2,Voluntary Aided School,Primary
1954,Lewisham,Sir Francis Drake Primary School,37,Community School,Primary
1953,Lewisham,Greenvale School,37,Community Special School,Not applicable
1938,Lewisham,Gordonbrock Primary School,36.9,Community School,Primary
1937,Lewisham,St Stephen's Church of England Primary School,36.9,Voluntary Aided School,Primary
1936,Lewisham,Brent Knoll School,36.9,Foundation Special School,Not applicable
1902,Lewisham,Edmund Waller Primary School,36.7,Community School,Primary
1866,Lewisham,Holy Cross Roman Catholic Primary School,36.5,Voluntary Aided School,Primary
1850,Lewisham,John Ball Primary School,36.4,Community School,Primary
1836,Lewisham,Holy Trinity Church of England Primary School,36.3,Voluntary Aided School,Primary
1816,Lewisham,Kings Kids Christian School,36.2,Other Independent School,Not applicable
1751,Lewisham,St George's CofE Primary School,35.8,Voluntary Aided School,Primary
1736,Lewisham,Sydenham School,35.7,Community School,Secondary
1711,Lewisham,Our Lady and St Philip Neri Roman Catholic Primary School,35.6,Voluntary Aided School,Primary
1697,Lewisham,Chelwood Nursery School,35.5,LA Nursery School,Nursery
1671,Lewisham,Eliot Bank Primary School,35.4,Community School,Primary
1670,Lewisham,All Saints' Church of England Primary School,35.4,Voluntary Aided School,Primary
1669,Lewisham,Turnham Primary School,35.4,Foundation School,Primary
1650,Lewisham,Brindishe Green School,35.3,Community School,Primary
1632,Lewisham,Fairlawn Primary School,35.2,Community School,Primary
1631,Lewisham,Allenby Tutorial Trust,35.2,Miscellaneous,Not applicable
1545,Lewisham,Sydenham High School GDST,34.7,Other Independent School,Not applicable
1544,Lewisham,Christ The King Sixth Form College,34.7,Further Education,16 Plus
1528,Lewisham,St Mary Magdalen's Catholic Primary School,34.6,Voluntary Aided School,Primary
1527,Lewisham,St Augustine's Catholic Primary School and Nursery,34.6,Voluntary Aided School,Primary
1505,Lewisham,Kelvin Grove Primary School,34.5,Community School,Primary
1490,Lewisham,Brindishe Lee School,34.4,Community School,Primary
1489,Lewisham,Watergate School,34.4,Foundation Special School,Not applicable
1488,Lewisham,St Matthew Academy,34.4,Academy Sponsor Led,All Through
1459,Lewisham,Holbeach Primary School,34.2,Community School,Primary
1418,Lewisham,Prendergast School,34,Voluntary Aided School,Secondary
1401,Lewisham,Sandhurst Junior School,33.9,Community School,Primary
1400,Lewisham,Sandhurst Infant and Nursery School,33.9,Community School,Primary
1399,Lewisham,"Trinity Church of England School, Lewisham",33.9,Voluntary Aided School,All Through
1377,Lewisham,St Winifred's Catholic Junior School,33.8,Voluntary Aided School,Primary
1354,Lewisham,Adamsrill Primary School,33.7,Community School,Primary
1320,Lewisham,St William of York Catholic Primary School,33.6,Voluntary Aided School,Primary
1302,Lewisham,Kilmorie Primary School,33.5,Community School,Primary
1275,Lewisham,Launcelot Primary School,33.4,Community School,Primary
1274,Lewisham,Horniman Primary School,33.4,Community School,Primary
1273,Lewisham,St Winifred's Catholic Infant and Nursery School,33.4,Voluntary Aided School,Primary
1272,Lewisham,Prendergast Ladywell School,33.4,Foundation School,All Through
1271,Lewisham,Rose House Montessori School,33.4,Other Independent School,Not applicable
1232,Lewisham,Brindishe Manor School,33.2,Community School,Primary
1211,Lewisham,Perrymount Primary School,33.1,Community School,Primary
1124,Lewisham,St Bartholomews's Church of England Primary School,32.7,Voluntary Aided School,Primary
1123,Lewisham,St Michael's Church of England Primary School,32.7,Voluntary Aided School,Primary
1079,Lewisham,Athelney Primary School,32.5,Community School,Primary
1078,Lewisham,Marvels Lane Primary School,32.5,Community School,Primary
1058,Lewisham,Elfrida Primary School,32.4,Community School,Primary
1041,Lewisham,Cooper's Lane Primary School,32.3,Community School,Primary
1040,Lewisham,Bonus Pastor Catholic College,32.3,Voluntary Aided School,Secondary
1012,Lewisham,Torridon Junior School,32.2,Community School,Primary
1011,Lewisham,Torridon Infant School,32.2,Community School,Primary
989,Lewisham,Forest Hill School,32.1,Community School,Secondary
965,Lewisham,Drumbeat School and ASD Service,32,Community Special School,Not applicable
943,Lewisham,Forster Park Primary School,31.9,Community School,Primary
926,Lewisham,Conisborough College,31.8,Community School,Secondary
910,Lewisham,Downderry Primary School,31.7,Community School,Primary
895,Lewisham,Rangefield Primary School,31.6,Community School,Primary
882,Lewisham,Haberdashers' Aske's Knights Academy,31.5,Academy Sponsor Led,All Through
827,Lewisham,New Woodlands School,31.2,Community Special School,Not applicable
804,Lewisham,Sedgehill School,31.1,Community School,Secondary
746,Lewisham,Good Shepherd RC School,30.8,Voluntary Aided School,Primary
2618,Merton,Jus'T'Learn,41.3,Other Independent School,Not applicable
2561,Merton,Cricket Green School,40.8,Community Special School,Not applicable
2525,Merton,Merton Abbey Primary School,40.5,Community School,Primary
2481,Merton,Park Community School,40.2,Free Schools,Primary
2426,Merton,Singlegate Primary School,39.8,Community School,Primary
2411,Merton,Eagle House School,39.7,Other Independent Special School,Not applicable
